Sr.No,Round,Institute,Program,Stream,Quota,Category,Seat Gender,Opening Rank,Closing Rank,Remark
1,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1353619.0,1353619.0,&nbsp;
2,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,1383117.0,1383117.0,&nbsp;
3,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,181615.0,367778.0,&nbsp;
4,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,Home State,BC(Girl),Female Seats,885053.0,952014.0,&nbsp;
5,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science &amp; Engineering (Cyber Security),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,836082.0,857304.0,&nbsp;
6,Round 1,"INSTITUTE OF TECHNOLOGY &amp; MANAGEMENT,LUCKNOW",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,295576.0,562068.0,&nbsp;
7,Round 1,"HARDAYAL TECHNICAL CAMPUS,MATHURA",Electrical &amp; Electronics Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,627364.0,627364.0,&nbsp;
8,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,Home State,BC(Girl),Female Seats,787544.0,1006054.0,&nbsp;
9,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Artificial Inelligence (AI) And Data Science,B.Tech,Home State,EWS(GL),Female Seats,1115606.0,1115606.0,&nbsp;
10,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,166304.0,336493.0,&nbsp;
11,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,BC(Girl),Female Seats,650434.0,650434.0,&nbsp;
12,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,Home State,EWS(GL),Female Seats,904395.0,904395.0,&nbsp;
13,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),B.Tech,Home State,BC,Both Male and Female Seats,842526.0,1086964.0,&nbsp;
14,Round 1,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,187552.0,816881.0,&nbsp;
15,Round 1,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,1313857.0,1375210.0,&nbsp;
16,Round 1,"MAHARANA INSTITUTE OF TECH. &amp; SCIENCES,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,All India,OPEN,Both Male and Female Seats,432190.0,432190.0,&nbsp;
17,Round 1,"DEV BHOOMI GROUP OF INSTITUTIONS,SAHARANPUR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,287324.0,626611.0,&nbsp;
18,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Electrical Engineering,B.Tech,Home State,EWS(GL),Female Seats,387725.0,387725.0,&nbsp;
19,Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Electrical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,494578.0,1354873.0,&nbsp;
20,Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,917399.0,985193.0,&nbsp;
21,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,245301.0,330890.0,&nbsp;
22,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,523786.0,780762.0,&nbsp;
23,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,245389.0,280095.0,&nbsp;
24,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,113366.0,129977.0,&nbsp;
25,Round 1,"I.E.C. COLLEGE OF ENGINEERING &amp; TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1386286.0,1386286.0,&nbsp;
26,Round 1,LLOYD INSTITUTE OF ENGINEERING AND TECHNOLOGY,Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,117457.0,620910.0,&nbsp;
27,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,124077.0,256656.0,&nbsp;
28,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Information Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,367950.0,409194.0,&nbsp;
29,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Electronics Engineering,B.Tech,Home State,BC,Both Male and Female Seats,588769.0,729758.0,&nbsp;
30,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,484862.0,1397081.0,&nbsp;
31,Round 1,"IIMT COLLEGE OF ENGINEERING,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,156920.0,526038.0,&nbsp;
32,Round 1,"VISION INSTITUTE OF TECHNOLOGY,ALIGARH",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,699728.0,699728.0,&nbsp;
33,Round 1,"SAROJ INSTITUTE OF TECH. &amp; MANAGEMENT,LUCKNOW",Bio Medical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,346475.0,622239.0,&nbsp;
34,Round 1,"SAROJ INSTITUTE OF TECH. &amp; MANAGEMENT,LUCKNOW",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,633482.0,718166.0,&nbsp;
35,Round 1,"KANPUR INSTITUTE OF TECHNOLOGY,KANPUR",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,616905.0,1325840.0,&nbsp;
36,Round 1,"IIMT COLLEGE OF ENGINEERING,GAUTAM BUDDH NAGAR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,188082.0,372934.0,&nbsp;
37,Round 1,"NARAINA COLLEGE OF ENGINEERING &amp; TECHNOLOGY,KANPUR",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,1386383.0,1386383.0,&nbsp;
38,Round 1,"MAHARANA INSTITUTE OF PROFESSIONAL STUDIES,KANPUR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,616198.0,1382947.0,&nbsp;
39,Round 1,"AMBALIKA INSTITUTE OF MANAGEMENT &amp; TECHNOLOGY,LUCKNOW",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,247354.0,613590.0,&nbsp;
40,Round 1,"AMBALIKA INSTITUTE OF MANAGEMENT &amp; TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Data Science) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,387250.0,686155.0,&nbsp;
41,Round 1,"Acharya Narendra Deva University of Agriculture &amp; Technology, Kumarganj, Ayodhya",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,1160108.0,1160108.0,&nbsp;
42,Round 1,"S.D.COLLEGE OF ENGINEERING &amp; TECHNOLOGY,MUZAFFARNAGAR",Computer Science and Engineering (Artificial Intelligence),B.Tech,All India,OPEN,Both Male and Female Seats,410465.0,983749.0,&nbsp;
43,Round 1,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,709622.0,857815.0,&nbsp;
44,Round 1,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,682930.0,696573.0,&nbsp;
45,Round 1,"AXIS INSTITUTE OF TECHNOLOGY &amp; MANAGEMENT,KANPUR",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1285607.0,1285607.0,&nbsp;
46,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Civil Engineering,B.Tech,Home State,EWS(GL),Female Seats,525514.0,634288.0,&nbsp;
47,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Civil Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,363800.0,415089.0,&nbsp;
48,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. &amp; TECHNOLOGY),GHAZIABAD",Computer Science Information Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,94250.0,104625.0,&nbsp;
49,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,350234.0,430048.0,&nbsp;
50,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,216059.0,341746.0,&nbsp;
51,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC(Girl),Female Seats,531577.0,683680.0,&nbsp;
52,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(GIRL),Female Seats,340710.0,472881.0,&nbsp;
53,Round 1,"ABES INSTITUTE OF TECHNOLOGY,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,BC,Both Male and Female Seats,503773.0,687815.0,&nbsp;
54,Round 1,"GOEL INSTITUTE OF TECHNOLOGY &amp; MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,369006.0,831035.0,&nbsp;
55,Round 1,"GOEL INSTITUTE OF TECHNOLOGY &amp; MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,884032.0,1403157.0,&nbsp;
56,Round 1,"SHRI RAMMURTI SMARAK COLLEGE OF ENGG AND TECHNOLOGY,BAREILLY",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,662207.0,1327487.0,&nbsp;
57,Round 1,"SHRI RAMMURTI SMARAK COLLEGE OF ENGG AND TECHNOLOGY,BAREILLY",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,891326.0,891326.0,&nbsp;
58,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. &amp; TECHNOLOGY),GHAZIABAD",Electrical &amp; Electronics Engineering,B.Tech,Home State,BC,Both Male and Female Seats,308155.0,361937.0,&nbsp;
59,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. &amp; TECHNOLOGY),GHAZIABAD",Electrical &amp; Electronics Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,223230.0,302234.0,&nbsp;
60,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. &amp; TECHNOLOGY),GHAZIABAD",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,105423.0,178118.0,&nbsp;
61,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Mechanical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,227180.0,359686.0,&nbsp;
62,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science,B.Tech,Home State,EWS(GL),Female Seats,192831.0,200175.0,&nbsp;
63,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science (Hindi),B.Tech,All India,OPEN,Both Male and Female Seats,142604.0,199549.0,&nbsp;
64,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science (Hindi),B.Tech,Home State,BC(AF),Both Male and Female Seats,480527.0,480527.0,&nbsp;
65,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,103327.0,119828.0,&nbsp;
66,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,Home State,SC,Both Male and Female Seats,321039.0,400125.0,&nbsp;
67,Round 1,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Computer Science and Engineering,B.Tech,Home State,SC(AF),Both Male and Female Seats,738164.0,738164.0,&nbsp;
68,Round 1,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Engineering,B.Tech,Home State,BC(Girl),Female Seats,689813.0,700967.0,&nbsp;
69,Round 1,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Technology,B.Tech,All India,OPEN,Both Male and Female Seats,215677.0,262554.0,&nbsp;
70,Round 1,"MEERUT INSTITUTE OF ENGINEERING &amp; TECHNOLOGY,MEERUT",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,875734.0,1334419.0,&nbsp;
71,Round 1,"MEERUT INSTITUTE OF ENGINEERING &amp; TECHNOLOGY,MEERUT",Computer Science,B.Tech,Home State,EWS(GL),Female Seats,972415.0,1005017.0,&nbsp;
72,Round 1,"MEERUT INSTITUTE OF ENGINEERING &amp; TECHNOLOGY,MEERUT",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,Home State,OPEN,Both Male and Female Seats,486079.0,934707.0,&nbsp;
73,Round 1,"MEERUT INSTITUTE OF ENGINEERING &amp; TECHNOLOGY,MEERUT",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,Home State,SC,Both Male and Female Seats,1320757.0,1320757.0,&nbsp;
74,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,265460.0,338859.0,&nbsp;
75,Round 1,"S.D.COLLEGE OF ENGINEERING &amp; TECHNOLOGY,MUZAFFARNAGAR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN,Both Male and Female Seats,1035311.0,1339031.0,&nbsp;
76,Round 1,"ALIGARH COLLEGE OF ENGG. &amp; TECH,ALIGARH",Electrical &amp; Electronics Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,622580.0,884751.0,&nbsp;
77,Round 1,"ALIGARH COLLEGE OF ENGG. &amp; TECH,ALIGARH",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,881334.0,881334.0,&nbsp;
78,Round 1,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Computer Science And Design (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,985797.0,1228293.0,&nbsp;
79,Round 1,"G.L.BAJAJ GROUP OF INSTITUTIONS,MATHURA",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,576303.0,1298534.0,&nbsp;
80,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,155233.0,222575.0,&nbsp;
81,Round 1,"Baba Shaheb (Dr.) B R Ambedkar College of Agricultural Engineering and Technology, Etawah",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,464446.0,709058.0,&nbsp;
82,Round 1,"MODERN COLLEGE, JHANSI.",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,456686.0,813648.0,&nbsp;
83,Round 1,"HINDUSTAN COLLEGE OF SCIENCE &amp; TECHNOLOGY,MATHURA",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1182008.0,1182008.0,&nbsp;
84,Round 1,"VISHVESHWARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,352981.0,1189392.0,&nbsp;
85,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. &amp; MANAGEMENT,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,338961.0,503450.0,&nbsp;
86,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. &amp; MANAGEMENT,LUCKNOW",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,419193.0,1307440.0,&nbsp;
87,Round 1,"SHRI RAM SWAROOP MEMORIAL COLLEGE OF ENGG. &amp; MANAGEMENT,LUCKNOW",Computer Science &amp; Engineering (Cyber Security),B.Tech,Home State,SC,Both Male and Female Seats,825405.0,825405.0,&nbsp;
88,Round 1,"SAGAR INSTITUTE OF TECHNOLOGY &amp; MANAGEMENT,BARABANKI",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,1272301.0,1272301.0,&nbsp;
89,Round 1,"ACCURATE INSTITUTE OF MANAGEMENT &amp; TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,235468.0,1401924.0,&nbsp;
90,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,208138.0,294258.0,&nbsp;
91,Round 1,"LUCKNOW INSTITUTE OF TECHNOLOGY,LUCKNOW",Information Technology,B.Tech,Home State,BC,Both Male and Female Seats,471931.0,496024.0,&nbsp;
92,Round 1,"Bundelkhand University, Jhansi",Computer Science and Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,271890.0,271890.0,&nbsp;
93,Round 1,"Bundelkhand University, Jhansi",Electronics and Communication Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,458722.0,581518.0,&nbsp;
94,Round 1,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR HANDICAPPEDS,KANPUR",Chemical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,203794.0,209219.0,&nbsp;
95,Round 1,"DR.AMBEDKAR INSTITUTE OF TECHNOLOGY FOR HANDICAPPEDS,KANPUR",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,85295.0,103567.0,&nbsp;
96,Round 1,Ch. Charan Singh University Campus (SCRIET) Meerut,Information Technology,B.Tech,Home State,BC(Girl),Female Seats,352561.0,411869.0,&nbsp;
97,Round 1,Ch. Charan Singh University Campus (SCRIET) Meerut,Chemical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,329865.0,907021.0,&nbsp;
98,Round 1,Ch. Charan Singh University Campus (SCRIET) Meerut,Computer Science,B.Tech,Home State,BC(AF),Both Male and Female Seats,414434.0,414434.0,&nbsp;
99,Round 1,"UNITED COLLEGE OF ENGINEERING &amp; RESEARCH,ALLAHABAD",Electrical Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,350249.0,1348699.0,&nbsp;
100,Round 1,"UNITED COLLEGE OF ENGINEERING &amp; RESEARCH,ALLAHABAD",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,210468.0,444739.0,&nbsp;
101,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,139191.0,140987.0,&nbsp;
102,Round 1,"DRONACHARYA GROUP OF INSTITUTIONS,GAUTAM BUDDH NAGAR",Electronic And Computer Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,477418.0,540888.0,&nbsp;
103,Round 1,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Civil Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,836146.0,1143586.0,&nbsp;
104,Round 1,"R.R.INSTITUTE OF MODERN TECHNOLOGY,LUCKNOW",Mechanical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,1407247.0,1407247.0,&nbsp;
105,Round 1,"JMS INSTITUTE OF TECHNOLOGY, GHAZIABAD",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,350990.0,1347657.0,&nbsp;
106,Round 1,"G.L.BAJAJ GROUP OF INSTITUTIONS,MATHURA",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,All India,OPEN,Both Male and Female Seats,70037.0,467412.0,&nbsp;
107,Round 1,"AXIS INSTITUTE OF TECHNOLOGY &amp; MANAGEMENT,KANPUR",Information Technology,B.Tech,All India,OPEN,Both Male and Female Seats,269584.0,1346602.0,&nbsp;
108,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,134583.0,134583.0,&nbsp;
109,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,242412.0,305646.0,&nbsp;
110,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,BC,Both Male and Female Seats,330825.0,400995.0,&nbsp;
111,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Mechanical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,220578.0,340018.0,&nbsp;
112,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science and Engineering (Data Science),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,353187.0,370537.0,&nbsp;
113,Round 1,LLOYD INSTITUTE OF ENGINEERING AND TECHNOLOGY,Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,217381.0,1058767.0,&nbsp;
114,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Civil Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,756703.0,847068.0,&nbsp;
115,Round 1,"Dr. Rammanohar Lohia Avadh University, Faizabad",Information Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,262968.0,339345.0,&nbsp;
116,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Computer Science and Engineering,B.Tech,Home State,ST,Both Male and Female Seats,655458.0,655458.0,&nbsp;
117,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Mechanical Engineering,B.Tech,Home State,BC(Girl),Female Seats,793768.0,793768.0,&nbsp;
118,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Mechanical Engineering,B.Tech,Home State,EWS(GL),Female Seats,824690.0,824690.0,&nbsp;
119,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Civil Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1186395.0,1186395.0,&nbsp;
120,Round 1,"Khwaja Moinuddin Chishti Language University, Lucknow",Computer Science &amp; Engineering  (Artificial Intelligence &amp; data Science),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,580405.0,580405.0,&nbsp;
121,Round 1,"ABES ENGG.COLLEGE,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,Home State,SC,Both Male and Female Seats,397449.0,951955.0,&nbsp;
122,Round 1,"INSTITUTE OF TECHNOLOGY &amp; MANAGEMENT,GORAKHPUR",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,Home State,OPEN(GIRL),Female Seats,1004213.0,1174892.0,&nbsp;
123,Round 1,"NOIDA INSTITUTE OF ENGG. &amp; TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,223952.0,399574.0,&nbsp;
124,Round 1,"NOIDA INSTITUTE OF ENGG. &amp; TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics and Communication Engineering,B.Tech,Home State,BC(Girl),Female Seats,657085.0,839890.0,&nbsp;
125,Round 1,"NOIDA INSTITUTE OF ENGG. &amp; TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,168976.0,252210.0,&nbsp;
126,Round 1,"NOIDA INSTITUTE OF ENGG. &amp; TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,Home State,SC(Girl),Female Seats,1171561.0,1171561.0,&nbsp;
127,Round 1,"NOIDA INSTITUTE OF ENGG. &amp; TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science &amp; Engineering (Cyber Security),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,491115.0,526772.0,&nbsp;
128,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,485390.0,520252.0,&nbsp;
129,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electronics Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,145490.0,219787.0,&nbsp;
130,Round 1,"RAJKIYA ENGINEERING COLLEGE,SONEBHADRA",Electronics Engineering,B.Tech,Home State,BC(Girl),Female Seats,324546.0,457383.0,&nbsp;
131,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Electrical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,722633.0,846408.0,&nbsp;
132,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,442188.0,670628.0,&nbsp;
133,Round 1,"RAJKIYA ENGINEERING COLLEGE, GONDA",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,1052051.0,1115582.0,&nbsp;
134,Round 1,"SHIVDAN SINGH INSTITUTE OF TECHNOLOGY &amp; MANAGEMENT,ALIGARH",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,646870.0,1331188.0,&nbsp;
135,Round 1,"BABU BANARSI DAS INSTITUTE OF TECH.,GHAZIABAD",Computer Science And Engineering(Artificial Intelligence &amp; Machine Learning),B.Tech,Home State,EWS(GL),Female Seats,1288109.0,1288109.0,&nbsp;
136,Round 1,"I.I.M.T. ENGG. COLLEGE,MEERUT",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,993600.0,1142978.0,&nbsp;
